descripción
"Instalar Extintores",
"Botiquín de Primeros Auxilios Básicos",
"Botiquín de Primeros Auxilios (fijo y móvil) Básicos",
"Señalización de Medidas de Seguridad",
"Cinta antiderrapante en escalones, escaleras rampas"
"Cinta antiastillante en vidrios y espejos.",
"Pintar tubería expuesta",
"Señalización de Ruta de Vehículos y cajonera de estacionamiento",
"Sujetar a pared muebles para evitar su caída ante un movimiento sísmico, como recomendación colocar cosas pesadas abajo y livianas arriba de estantes o libreros",
"Escaleras de acceso a azoteas",
