nombre,descripcion
Licencia Sanitaria o Aviso de Funcionamiento de COEPRIS,
Convenio vigente por el servicio de recolección de Residuos Solidos Urbanos (RSU),
Convenio por empresa receptora de los Residuos de Manejo Especial (RME) aceites y grasas gastados,
Contrato vigente por servicio de recolección periódica de aceite residual de cocina,Igual que Prot Civil
Contrato vigente por servicio de recolección de Residuos Peligrosos (RP),
Manifiestos por servicio de recolección de Residuos Peligrosos (RP) de un año anterior,
Contrato vigente por servicio de recolección de Residuos Peligrosos Biológicos Infecciosos (RPBI),
Manifiestos por servicio de recolección de Residuos Peligrosos Biológicos Infecciosos (RPBI) de un año anterior,Igual que Prot Civil
"Autorización por recolección, transportación y almacenamiento temporal de Residuos Peligrosos",
Fotografías de trampas de grasa y su recolección periódica,
