nombre,descripcion
Dictamen Técnico de Instalaciones de Gas L.P.,
Valoración del Sistema Eléctrico (UVIE) o Documento de Valoración Eléctrica,Igual que Uso de Suelo
Contrato de la empresa receptora de aceite para su manejo de reciclaje,igual que Medio Ambiente
Programa Interno de Protección Civil
Dictamen Técnico Estructural,
Sistema de luces de emergencia en todo el edificio,
Póliza de seguro o responsabilidad civil,
Sistema de Alarma contra incendio con Detectores de humo y que estos estén ubicados al exterior e interior (entre falso plafón y techo),
Programa de fumigación y control de plagas con registros,
"Sistema fijo contra incendio (red de hidrantes, red de rociadores)",
Dictamen de verificación favorable y vigente de instalación de extintores portátiles y / o móviles Contra Incendio,
Manifiestos por servicio de recolección de Residuos Peligrosos Biológicos Infecciosos (RPBI),igual que Medio Ambiente
Documento de notificación para operación,
"Constancia, protocolos de ficha técnica y evidencia fotográfica de la aplicación de retardante de fuego",
Registro y bitácora de mantenimiento general del inmueble,
Documento de Terminación de Obra,
Constancias de capacitación a personal para el manejo de materiales y residuos peligrosos,
Análisis de equipo de Protección Personal a trabajadores,
